Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status,has the service tag,output,orig.order,,,Serial Number,,,Company Name Billing,Company Name Shipping,Customer Num,PO Num,Dell Order Number,Master Inv Num,Invoice Num,Group Desc,Product Desc,Brand Desc,Item Num,Item Long Name,System Qty,Order Qty,Total Rev Retail USD,Total Rev Disc USD,Freight Charges,Sales Tax USD,Vat Amt Local Currency,Order Status Desc,Order Date,Ship By Date,Shipped Date,Inv Date,Service Tags,,Serial Numberfootprints
US20129,3P3CQD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.150.207,Microsoft Windows 7 Professional x64,CPL,,8/9/2019 23:59,Active,,,,,,1,322,"3P3CQD2,3P3DQD2,3P3FQD2",407,1,,3P3CQD2,3p3cqd2,3P3CQD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,CPL-191495,166408830,10134370448,10134370448,CS SOFTWARE AND PERIPHERALS,CLIENT PERIPHERALS,PARTNER,A3945800,Logitech MK520 Wireless Keyboard and Mouse,0,1,$59.99 ,$35.99 ,$0.00 ,$0.00 ,0,Invoiced,12/8/2016,12/9/2016,12/9/2016,12/13/2016,,,3P3CQD2
US14564,FSZHQD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.26.164,Microsoft Windows 7 Professional x64,CPL,,8/17/2019 23:59,Active,,,,,,57,323,"FSXKQD2,FSXLQD2,FSYFQD2,FSYHQD2,FSYJQD2,FSYLQD2,FSZGQD2,FSZHQD2,FT3JQD2,FT3LQD2",881,57,,FSZHQD2,fszhqd2,FSZHQD2,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL112739,815475765,XJP1672R2,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,2,2,"$2,502.80 ","$1,420.04 ",$0.00 ,$0.00 ,0,Invoiced,4/28/2015,4/29/2015,4/29/2015,4/29/2015,"JCJVB42,JCMSB42",,FSZHQD2
US14568,FSYHQD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.44.181,Microsoft Windows 7 Professional x64,CPL,,8/17/2019 23:59,Active,,,,,,25,323,"FSXKQD2,FSXLQD2,FSYFQD2,FSYHQD2,FSYJQD2,FSYLQD2,FSZGQD2,FSZHQD2,FT3JQD2,FT3LQD2",1235,25,,FSYHQD2,fsyhqd2,FSYHQD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,CPL143597,935942645,XJW5XCFM8,,Desktops,OptiPlex Desktops,OPTIPLEX 3020,210-ABDX,OptiPlex 3020 Small Form Factor BTX Base,11,11,"$9,781.79 ","$4,389.11 ",$0.00 ,$0.00 ,0,Invoiced,12/21/2015,12/23/2015,1/7/2016,1/7/2016,"B36L082,B3SL082,B3TK082,B3XD082,B3YK082,B41L082,B42F082,B4BK082,B4DJ082,B4GH082,B7PF082",,FSYHQD2
US14565,FT3JQD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.46.148,Microsoft Windows 7 Professional x64,CPL,,8/17/2019 23:59,Active,,,,,,65,323,"FSXKQD2,FSXLQD2,FSYFQD2,FSYHQD2,FSYJQD2,FSYLQD2,FSZGQD2,FSZHQD2,FT3JQD2,FT3LQD2",1258,65,,FT3JQD2,ft3jqd2,FT3JQD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL139583,938360530,XJW4DKNJ4,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$41.00 ,$0.00 ,$0.00 ,0,Invoiced,12/30/2015,1/7/2016,12/30/2015,12/30/2015,,,FT3JQD2
US14603,FSYLQD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.2.205,Microsoft Windows 7 Professional x64,SRL,,8/17/2019 23:59,Active,,,,,,41,323,"FSXKQD2,FSXLQD2,FSYFQD2,FSYHQD2,FSYJQD2,FSYLQD2,FSZGQD2,FSZHQD2,FT3JQD2,FT3LQD2",1515,41,,FSYLQD2,fsylqd2,FSYLQD2,,,,,,,,,,,,,,,,,,,,,,,,,,,FSYLQD2
US20167,7HWPQD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.150.206,Microsoft Windows 7 Professional x64,CPL,,8/21/2019 23:59,Active,,,,,,17,324,"7HWMQD2,7HWNQD2,7HWPQD2",406,17,,7HWPQD2,7hwpqd2,7HWPQD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATORIE,137995733,CPL-191495,166408830,10134370448,10134370448,CS SOFTWARE AND PERIPHERALS,DISPLAYS,PARTNER,A3716904,DoubleSight DS-224STA - Stand for 2 LCD displays ( Tilt &amp; Swivel ) - screen size: up to 24-inch - desktop stand,0,1,$159.99 ,$139.99 ,$0.00 ,$14.52 ,14.52,Invoiced,12/8/2016,12/9/2016,12/9/2016,12/13/2016,,,7HWPQD2
US14560,105WJC2,Dell Inc.,Latitude E7470,Unassigned,laptop,10.149.144.165,Microsoft Windows 7 Professional x64,CPL,,8/18/2019 23:59,Active,,,,,,1,325,105WJC2,1439,1,,105WJC2,105wjc2,105WJC2,,,,,,,,,,,,,,,,,,,,,,,,,,,105WJC2
US20182,FB15RD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.29.62,Microsoft Windows 7 Professional x64,CPL,,9/3/2019 23:59,Active,,,,,,1,329,FB15RD2,1022,1,,FB15RD2,fb15rd2,FB15RD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL119838,867921997,XJR7C3MC4,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$10.00 ,$0.00 ,$0.00 ,0,Invoiced,8/5/2015,8/11/2015,8/5/2015,8/5/2015,,,FB15RD2
US20187,8W5CRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.139.12,Microsoft Windows 7 Professional x64,CPL,,9/8/2019 23:59,Active,,,,,,1,330,8W5CRD2,285,1,,8W5CRD2,8w5crd2,8W5CRD2,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,389-BCDK,EAN label,0,-6,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,8W5CRD2
US20191,HQW5RD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.194.20,Microsoft Windows 7 Professional x64,CPL,,9/12/2019 23:59,Active,,,,,,17,332,"HQV9RD2,HQVBRD2,HQW5RD2",610,17,,HQW5RD2,hqw5rd2,HQW5RD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL82033,688347091,XJJKDMTR4,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,2,2,"$2,394.84 ","$1,420.04 ",$0.00 ,$0.00 ,0,Invoiced,9/10/2014,9/12/2014,9/11/2014,9/11/2014,"CCXZZ12,CDDZZ12",,HQW5RD2
US20189,HQV9RD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.196.187,Microsoft Windows 7 Professional x64,CPL,,9/12/2019 23:59,Active,,,,,,1,332,"HQV9RD2,HQVBRD2,HQW5RD2",644,1,,HQV9RD2,hqv9rd2,HQV9RD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL81892,711658530,XJK68R5C4,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$10.00 ,$0.00 ,$0.00 ,0,Invoiced,10/22/2014,10/28/2014,10/22/2014,10/22/2014,,,HQV9RD2
US20197,46ZLRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.46.220,Microsoft Windows 7 Professional x64,CPL,,9/14/2019 23:59,Active,,,,,,1,334,46ZLRD2,1325,1,,46ZLRD2,46zlrd2,46ZLRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL157775,968928198,XJX2C3FM6,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,168.83 ",$617.40 ,$0.00 ,$0.00 ,0,Invoiced,3/31/2016,4/1/2016,3/31/2016,3/31/2016,H36VG42,,46ZLRD2
US14613,2ZHCMC2,Dell Inc.,Latitude E7470,Unassigned,laptop,10.148.2.154,Microsoft Windows 7 Professional x64,CPL,,9/17/2019 23:59,Active,,,,,,1,335,2ZHCMC2,703,1,,2ZHCMC2,2zhcmc2,2ZHCMC2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL93265,736450137,XJKWC61T2,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,251.40 ",$710.02 ,$0.00 ,$0.00 ,0,Invoiced,12/2/2014,12/4/2014,12/3/2014,12/3/2014,427ZR22,,2ZHCMC2
US14731,FPTGRD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.46.201,Microsoft Windows 7 Professional x64,CPL,,9/21/2019 23:59,Active,,,,,,1,337,FPTGRD2,1312,1,,FPTGRD2,fptgrd2,FPTGRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL154681,961891815,XJWT495P8,,EUC Mobility,Latitude,LATITUDE E7450,210-ADBE,"Dell Latitude E7450/7450, BTX",1,1,"$2,311.77 ","$1,225.74 ",$0.00 ,$0.00 ,0,Invoiced,3/9/2016,3/10/2016,3/10/2016,3/10/2016,5B7CK72,,FPTGRD2
US20202,G4VDRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.29.43,Microsoft Windows 7 Professional x64,CPL,,9/21/2019 23:59,Active,,,,,,9,338,"G4VCRD2,G4VDRD2",1003,9,,G4VDRD2,g4vdrd2,G4VDRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL125257,865747865,XJR88M5X2,,Tablet Devices,Tablets,VENUE 11 PRO,210-ABEJ,Tablet Venue 11 Pro,1,1,$889.86 ,$592.06 ,$39.00 ,$0.00 ,0,Invoiced,7/31/2015,8/14/2015,8/10/2015,8/10/2015,B34DT22,,G4VDRD2
US20201,G4VCRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.48.202,Microsoft Windows 7 Professional x64,CPL,,9/21/2019 23:59,Active,,,,,,1,338,"G4VCRD2,G4VDRD2",1352,1,,G4VCRD2,g4vcrd2,G4VCRD2,CLINICAL PATHOLOGY LABORATORIE,SONIC HEALTHCARE USA,137995733,SHC161894,981021856,XJX9KCMF6,,CS SOFTWARE AND PERIPHERALS,DISPLAYS,DELL-BRANDED,320-9704,Dell 22 Monitor - P2213,0,2,$439.98 ,$310.88 ,$0.00 ,$0.00 ,0,Invoiced,5/5/2016,5/6/2016,5/5/2016,5/5/2016,,,G4VCRD2
US20208,68XPRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.134.145,Microsoft Windows 7 Professional x64,CPL,,9/23/2019 23:59,Active,,,,,,1,340,68XPRD2,224,1,,68XPRD2,68xprd2,68XPRD2,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,SUPPORT AND DEPLOYMENT,SUPPORT SERVICES,BASE WARRANTY,997-9494,"ProSupport: Next Business Day Onsite, 3 Years",0,-1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,68XPRD2
US20210,BZPPRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.20.188,Microsoft Windows 7 Professional x64,CPL,,9/23/2019 23:59,Active,,,,,,9,341,"BZNRRD2,BZPPRD2",803,9,,BZPPRD2,bzpprd2,BZPPRD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL83401,789048028,XJN77MD39,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$10.00 ,$0.00 ,$0.00 ,0,Invoiced,3/9/2015,3/13/2015,3/9/2015,3/9/2015,,,BZPPRD2
US20212,BZPRRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.139.118,Microsoft Windows 7 Professional x64,CPL,,9/23/2019 23:59,Active,,,,,,9,342,"BZPQRD2,BZPRRD2",284,9,,BZPRRD2,bzprrd2,BZPRRD2,CPLSE,SONIC HEALTHCARE USA,132936491,SEC154915,978176143,XJX7XMCR6,,CS Software and Peripherals,TVs,UNKNOWN,570-AADK,No Mouse,0,-6,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,Invoiced,4/27/2016,4/27/2016,4/27/2016,4/27/2016,,,BZPRRD2
US20215,194ZRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.18.200,Microsoft Windows 7 Professional x64,CPL,,9/24/2019 23:59,Active,,,,,,9,344,"194YRD2,194ZRD2",513,9,,194ZRD2,194zrd2,194ZRD2,CLINICAL PATHOLOGY LABORATORIE,SONIC HEALTHCARE,137995733,SHC-211932,215177097,10165768238,10165768238,CS SOFTWARE AND PERIPHERALS,CLIENT PERIPHERALS,DELL-BRANDED,331-6304,"E-Port Plus, 130W Advanced Port Replicator, USB 3.0 for Latitude E-Family, Customer Kit",0,1,$219.99 ,$145.19 ,$0.00 ,$11.98 ,11.98,Invoiced,5/5/2017,5/8/2017,5/6/2017,5/12/2017,,,194ZRD2
US20216,195TRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.157.77,Microsoft Windows 7 Professional x64,CPL,,9/26/2019 23:59,Active,,,,,,1,345,"195TRD2,195VRD2",478,1,,195TRD2,195trd2,195TRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL-207085,203633986,10157367087,10157367087,CS Software and Peripherals,TVs,UNKNOWN,465-7758,Sales order Freight,0,1,$21.00 ,$21.00 ,$21.00 ,$0.00 ,0,Invoiced,3/31/2017,4/3/2017,3/31/2017,3/31/2017,,,195TRD2
US20217,195VRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.29.18,Microsoft Windows 7 Professional x64,CPL,,9/26/2019 23:59,Active,,,,,,9,345,"195TRD2,195VRD2",956,9,,195VRD2,195vrd2,195VRD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL115440,851044897,XJPT5R9X8,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$34.00 ,$0.00 ,$0.00 ,0,Invoiced,7/2/2015,7/9/2015,7/2/2015,7/2/2015,,,195VRD2
US20218,195WRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.2.195,Microsoft Windows 7 Professional x64,CPL,,9/24/2019 23:59,Active,,,,,,1,347,195WRD2,739,1,,195WRD2,195wrd2,195WRD2,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL88878,754842785,XJM9KFWX2,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$11.00 ,$0.00 ,$0.00 ,0,Invoiced,1/6/2015,1/12/2015,1/7/2015,1/7/2015,,,195WRD2
US20220,5V2VRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.196.188,Microsoft Windows 7 Professional x64,CPL,,9/26/2019 23:59,Active,,,,,,9,348,"5V2TRD2,5V2VRD2",645,9,,5V2VRD2,5v2vrd2,5V2VRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL81966,713129928,XJK77RDR8,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$74.00 ,$0.00 ,$0.00 ,0,Invoiced,10/24/2014,10/30/2014,10/25/2014,10/26/2014,,,5V2VRD2
US20219,5V2TRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.29.82,Microsoft Windows 7 Professional x64,CPL,,9/26/2019 23:59,Active,,,,,,1,348,"5V2TRD2,5V2VRD2",1040,1,,5V2TRD2,5v2trd2,5V2TRD2,CLINICAL PATHOLOGY LABORATORIE,CLINICAL PATHOLOGY LABORATIES,137995733,CPL127116,873781914,XJRD4J1X1,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,251.29 ",$671.40 ,$0.00 ,$0.00 ,0,Invoiced,8/17/2015,8/19/2015,8/19/2015,8/19/2015,FXGLV42,,5V2TRD2
US20223,C0JYRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.157.107,Microsoft Windows 7 Professional x64,CPL,,9/28/2019 23:59,Active,,,,,,17,349,"C0JWRD2,C0JXRD2,C0JYRD2,C0JZRD2",470,17,,C0JYRD2,c0jyrd2,C0JYRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL-205492,200701729,10156548961,10156548961,Desktops,OptiPlex Desktops,OPTIPLEX 3040,210-AFXK,OptiPlex 3040 Small Form Factor XCTO,2,2,"$1,884.30 ",$974.12 ,$0.00 ,$80.37 ,80.37,Invoiced,3/23/2017,3/28/2017,3/24/2017,3/28/2017,"3RT4HH2,3RT5HH2",,C0JYRD2
US20221,C0JWRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.20.200,Microsoft Windows 7 Professional x64,CPL,,9/28/2019 23:59,Active,,,,,,1,349,"C0JWRD2,C0JXRD2,C0JYRD2,C0JZRD2",806,1,,C0JWRD2,c0jwrd2,C0JWRD2,CLINICAL PATHOLOGY LABORATORIE,CPL,137995733,CPL83449,789213697,XJN77W5K8,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$10.00 ,$0.00 ,$0.00 ,0,Invoiced,3/9/2015,3/13/2015,3/9/2015,3/9/2015,,,C0JWRD2
US20222,C0JXRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.20.203,Microsoft Windows 7 Professional x64,CPL,,9/28/2019 23:59,Active,,,,,,9,349,"C0JWRD2,C0JXRD2,C0JYRD2,C0JZRD2",807,9,,C0JXRD2,c0jxrd2,C0JXRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL96845,790134650,XJN857PD3,,CS Software and Peripherals,TVs,UNKNOWN,468-4398,Late Fee Assessment,0,1,$3.00 ,$11.00 ,$0.00 ,$0.00 ,0,Invoiced,3/11/2015,3/17/2015,3/12/2015,3/12/2015,,,C0JXRD2
US20226,5V2XRD2,Dell Inc.,OptiPlex 3040,Unassigned,desktop,10.148.29.126,Microsoft Windows 7 Professional x64,CPL,,9/26/2019 23:59,Active,,,,,,9,350,"5V2WRD2,5V2XRD2",912,9,,5V2XRD2,5v2xrd2,5V2XRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL116565,831488412,XJP9JW981,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,1,1,"$1,251.40 ",$710.02 ,$0.00 ,$0.00 ,0,Invoiced,5/27/2015,5/27/2015,5/29/2015,5/29/2015,23RRG42,,5V2XRD2
US14612,GYPVRD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.8.134,Microsoft Windows 7 Professional x64,CPL,,9/29/2019 23:59,Active,,,,,,1,351,GYPVRD2,1402,1,,GYPVRD2,gypvrd2,GYPVRD2,,,,,,,,,,,,,,,,,,,,,,,,,,,GYPVRD2
US14830,GYPTRD2,Dell Inc.,OptiPlex 7040,Unassigned,desktop,10.148.3.91,Microsoft Windows 7 Professional x64,CPL,,9/29/2019 23:59,Active,,,,,,1,352,GYPTRD2,1122,1,,GYPTRD2,gyptrd2,GYPTRD2,CLINICAL PATHOLOGY LABORATORIE,CPL SRL,137995733,CPL136210,907828632,XJT7MXJJ6,,Desktops,OptiPlex Desktops,OPTIPLEX 9020,210-AAOZ,OptiPlex 9020 Small Form Factor,3,3,"$3,668.49 ","$2,014.20 ",$0.00 ,$0.00 ,0,Invoiced,10/23/2015,10/27/2015,10/23/2015,10/23/2015,"8KC7V62,8KH4V62,8KHWP52",,GYPTRD2
